鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
3,0,1,5,1,15,30,3,2,2,1,0,1,35000
3,0,11,15,0,43,48,3,0,4,0,1,1,56000
3,0,7,15,0,36,18,1,1,1,1,1,1,14000
5,0,2,10,2,37,36,3,2,2,1,1,0,26000
5,1,2,10,0,6,210,4,0,2,0,1,0,242000
5,0,1,5,1,35,30,1,0,1,0,0,0,50000
2,0,2,10,2,39,24,2,2,1,1,0,0,26000
2,0,1,5,1,37,48,3,2,2,1,0,0,47000
2,0,2,15,4,51,66,3,0,1,0,1,0,290000
2,0,1,10,2,49,12,3,0,2,0,0,0,23000
5,0,3,5,1,40,6,1,0,1,1,0,1,8000
5,0,4,5,1,15,12,1,1,1,1,0,1,14000
7,0,5,20,4,7,30,2,1,1,1,1,1,47000
7,0,2,5,1,44,36,3,2,2,1,0,0,23000
11,0,11,15,4,7,30,3,2,2,1,1,1,38000
8,0,7,10,2,32,54,4,2,2,1,1,1,53000
9,0,1,5,1,51,30,3,1,1,1,0,0,26000
8,0,2,10,2,15,72,3,3,3,1,0,1,59000
10,0,1,20,0,25,12,3,0,2,0,1,0,11000
8,0,5,15,0,26,180,3,0,1,0,1,0,212000
8,0,1,10,2,35,18,3,0,2,0,1,0,47000
9,0,11,15,4,11,72,3,2,2,1,1,1,101000
9,0,8,15,4,29,18,4,0,3,0,1,0,26000
4,0,13,15,4,14,30,2,2,2,1,1,1,50000
4,0,2,10,2,12,36,2,1,2,1,0,1,47000
3,0,3,10,2,36,42,3,0,1,0,1,0,32000
3,0,6,10,2,13,36,3,2,2,1,1,1,47000
3,0,5,10,0,15,54,2,0,2,0,1,0,77000
3,0,11,15,0,23,372,10,0,1,1,1,0,536000
3,0,3,15,0,35,48,2,1,2,1,1,0,38000
3,0,2,15,3,10,18,1,1,1,1,1,1,23000
5,0,4,5,1,39,12,4,4,4,1,0,1,11000
3,0,9,15,4,9,78,3,2,2,1,1,1,92000
5,0,19,25,4,22,48,4,2,2,1,1,1,62000
3,0,10,15,0,18,84,4,2,1,1,1,0,110000
3,0,7,15,4,10,30,1,1,1,1,1,1,65000
5,0,2,15,4,13,48,3,2,2,1,1,1,47000
5,0,18,20,4,10,36,3,2,2,1,1,1,56000
3,0,3,10,2,39,42,3,2,2,1,0,0,38000
7,0,1,15,4,14,42,3,2,2,1,1,1,62000
0,0,1,10,2,9,66,4,2,2,1,1,1,92000
0,0,1,10,2,40,48,4,2,2,1,0,0,35000
9,0,1,10,2,15,12,1,1,1,1,0,0,32000
9,0,9,15,4,24,84,3,2,2,1,1,0,80000
2,0,2,5,1,37,36,5,0,3,0,0,0,44000
2,0,1,10,2,48,54,2,1,1,1,1,0,251000
2,0,24,30,4,30,48,5,0,3,0,1,1,80000
2,0,24,30,4,30,48,3,0,1,0,1,1,80000
2,0,3,10,2,35,66,4,2,3,1,1,1,56000
4,0,5,5,1,55,12,2,2,2,1,0,1,11000
6,0,1,5,1,45,30,2,1,1,1,0,1,47000
3,0,11,15,0,42,18,1,1,1,1,1,1,26000
2,0,3,5,2,15,36,3,2,2,1,1,1,41000
2,0,10,15,4,50,48,3,2,2,1,0,1,74000
2,0,4,10,2,5,24,1,1,1,1,0,1,35000
8,0,7,10,2,34,36,3,2,2,1,1,0,35000
8,0,10,15,4,15,24,2,1,1,1,1,1,29000
8,0,5,15,3,12,12,1,1,1,1,1,1,17000
8,0,1,10,2,41,12,5,5,5,1,1,1,20000
8,0,4,10,2,37,48,4,2,2,1,1,1,41000
9,0,11,15,4,37,48,2,1,1,1,0,1,35000
8,0,3,15,0,11,42,3,0,1,0,1,1,47000
8,0,5,15,0,43,24,4,0,1,0,1,0,26000
7,0,1,10,2,9,54,4,2,2,1,1,1,47000
7,0,2,20,4,7,66,3,2,2,1,1,1,74000
7,0,5,20,4,7,54,3,2,2,1,1,1,62000
0,0,3,15,4,12,42,3,1,1,1,1,1,62000
11,0,3,15,3,4,18,1,1,1,1,1,0,20000
1,0,9,15,0,37,54,4,0,3,1,1,1,74000
1,0,11,20,4,11,24,1,1,1,1,1,1,47000
3,0,7,15,3,12,12,1,1,1,1,1,0,20000
3,0,3,15,3,18,18,1,1,1,1,1,0,20000
3,0,9,15,3,12,12,1,1,1,1,1,0,20000
3,0,7,15,3,10,12,1,1,1,1,1,0,23000
5,0,1,5,1,37,36,2,0,1,1,0,0,32000
3,0,15,20,4,4,60,3,2,2,1,1,1,74000
3,0,11,15,4,10,60,2,2,2,1,1,1,68000
