鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
3,0,10,15,4,41,24,2,1,1,1,1,1,20000
3,0,16,20,4,30,42,4,2,2,1,1,1,44000
3,0,6,15,4,13,42,3,2,2,1,1,1,65000
3,0,11,20,4,30,30,2,2,1,1,1,1,47000
3,0,8,15,4,10,24,1,1,1,1,1,1,35000
3,0,5,15,4,12,24,2,1,1,1,1,1,47000
5,0,6,10,0,13,186,1,0,2,1,1,0,209000
3,0,6,15,4,12,18,2,1,1,1,1,1,41000
3,0,4,15,4,9,36,2,1,1,1,1,1,59000
3,0,8,15,4,9,36,3,1,1,1,1,1,65000
3,0,7,10,2,13,30,2,1,1,1,1,1,35000
3,0,9,15,4,14,18,1,1,1,1,1,1,32000
10,0,1,5,1,46,24,4,0,2,0,0,0,32000
9,0,14,20,0,30,90,2,0,2,0,1,0,149000
9,0,11,15,4,13,24,2,1,2,1,1,1,47000
8,0,6,10,2,13,30,2,1,2,1,1,1,50000
8,0,5,10,2,41,42,3,2,2,1,1,1,44000
9,0,5,5,1,33,36,3,2,2,1,1,1,35000
8,0,10,15,4,11,18,1,1,1,1,1,1,35000
0,0,2,10,2,12,66,4,1,2,1,1,1,95000
0,0,4,15,4,12,60,4,2,2,1,1,1,62000
0,0,7,10,2,42,60,4,2,3,1,1,1,68000
0,0,12,15,4,34,54,3,2,2,1,1,1,59000
1,0,7,15,4,7,30,1,1,1,1,1,1,47000
1,0,4,15,4,8,48,3,2,2,1,1,1,59000
11,0,2,5,1,13,18,2,1,1,1,0,1,14000
4,0,3,15,4,10,60,3,2,2,1,1,1,104000
3,0,14,15,4,11,24,2,1,1,1,1,1,47000
3,0,6,15,3,8,24,1,1,1,1,1,1,32000
3,0,4,20,4,11,66,4,2,2,1,0,1,65000
3,0,9,15,4,10,30,2,1,1,1,0,1,59000
0,0,14,15,4,32,36,3,1,2,1,0,1,59000
8,0,5,10,2,35,42,3,2,2,1,1,1,56000
10,0,8,15,4,7,36,3,2,2,1,1,0,32000
9,0,10,10,4,11,18,1,1,1,1,1,1,32000
9,1,10,30,0,11,60,3,0,4,0,1,0,206000
9,0,2,15,0,29,66,3,0,2,0,1,0,74000
9,0,11,15,4,22,54,2,2,2,1,1,1,59000
7,0,6,15,4,7,60,3,2,2,1,1,1,62000
0,0,7,15,4,30,78,4,2,3,1,1,1,101000
7,0,2,10,2,36,24,2,1,1,1,1,1,20000
0,0,4,10,2,17,60,3,2,2,1,1,1,71000
3,0,2,15,4,20,54,5,2,3,1,1,0,74000
3,0,12,15,3,10,18,1,1,1,1,1,0,26000
3,0,8,10,2,40,126,1,0,1,0,0,1,140000
3,0,7,10,2,46,36,4,0,1,0,0,0,47000
3,0,12,20,3,10,24,1,1,1,1,1,1,38000
5,0,3,10,2,26,24,2,2,1,1,1,0,20000
3,0,2,15,4,11,42,3,2,2,1,1,1,62000
3,0,4,20,0,6,1080,4,0,1,0,0,1,3344000
3,0,12,15,4,9,30,1,2,1,1,1,1,71000
1,0,6,15,3,12,12,1,1,1,1,1,1,20000
1,0,7,20,4,11,42,2,1,2,1,0,1,71000
4,0,8,15,4,10,60,3,2,2,1,1,1,122000
1,0,14,20,4,11,24,2,1,1,1,1,1,56000
2,0,3,10,2,34,48,2,2,2,1,1,1,62000
2,0,5,10,2,7,36,2,2,1,1,1,1,59000
2,0,11,15,4,15,24,2,1,1,1,0,1,29000
2,0,7,10,2,34,60,3,2,2,1,1,1,65000
2,0,3,15,4,15,72,3,0,2,0,0,1,71000
2,0,3,35,0,29,96,3,0,1,0,1,0,182000
1,0,8,15,4,35,54,4,2,3,1,1,1,44000
4,0,10,20,4,11,18,1,1,1,1,1,1,41000
1,0,5,15,4,6,60,3,1,2,1,1,1,59000
4,0,2,15,4,13,12,1,0,1,0,0,1,20000
11,0,10,10,2,15,54,4,0,1,0,0,0,50000
6,0,2,5,1,51,30,3,2,1,1,0,1,20000
4,0,2,5,1,47,18,4,0,2,0,0,0,35000
2,0,13,25,4,31,60,2,0,2,1,1,0,71000
11,0,2,15,4,22,54,3,0,2,0,1,0,41000
3,0,2,15,4,15,18,1,1,2,1,1,1,32000
3,0,5,15,4,19,24,2,2,2,1,1,1,47000
3,0,12,20,4,24,24,1,1,1,1,1,1,20000
3,0,13,15,4,12,48,3,2,2,1,1,1,56000
3,0,3,20,4,24,78,4,0,3,0,1,0,101000
3,0,7,15,0,43,24,3,1,4,1,1,0,32000
5,0,7,15,4,10,30,2,1,1,1,1,0,35000
5,1,9,15,4,16,42,2,1,2,1,0,1,53000
0,0,7,10,2,35,48,4,2,2,1,1,0,35000
7,0,3,15,4,18,54,4,2,2,1,1,1,59000
7,0,2,15,4,35,48,2,2,1,1,1,0,32000
0,0,2,15,4,12,48,3,2,2,1,1,1,71000
0,0,2,10,2,11,72,3,2,3,1,1,1,86000
0,0,5,30,4,25,72,3,2,2,1,1,1,149000
9,0,6,10,2,4,48,2,2,2,1,1,1,38000
9,0,2,10,0,29,60,3,1,2,1,1,1,74000
9,0,5,10,2,23,12,3,0,3,0,0,1,17000
3,0,3,10,2,12,18,1,1,1,1,1,1,32000
5,0,4,5,1,15,24,2,2,1,1,0,1,20000
3,0,4,10,3,12,18,1,1,1,1,1,1,29000
3,0,13,15,4,7,66,3,1,2,1,0,1,83000
3,0,7,15,0,18,84,3,1,2,1,1,0,92000
11,0,8,15,4,33,30,3,2,2,1,1,0,26000
1,0,1,5,1,38,30,2,0,4,0,0,0,32000
2,0,7,10,2,15,48,4,2,2,1,0,0,50000
2,0,3,10,2,14,30,2,1,1,1,0,1,44000
2,0,2,10,2,15,30,3,2,2,1,0,0,38000
2,0,1,15,0,38,36,3,0,1,0,0,1,380000
5,0,1,5,1,40,42,5,0,4,0,0,0,32000
9,0,1,10,2,15,60,3,1,1,1,0,0,167000
9,0,1,15,4,29,162,5,4,5,1,1,0,140000
8,0,4,10,2,41,36,2,1,2,1,1,1,62000
8,0,11,15,0,38,18,3,0,3,0,0,1,17000
8,0,11,15,0,38,18,3,0,3,0,0,1,17000
8,0,11,15,0,38,18,3,0,4,0,0,1,17000
8,0,12,15,0,36,36,3,0,3,0,1,0,35000
0,0,3,10,2,7,54,3,2,2,1,0,1,89000
0,0,1,10,2,42,42,4,0,1,0,0,0,80000
7,0,12,15,4,4,174,4,2,3,1,1,0,2e+05
3,0,4,5,1,15,18,2,1,1,1,0,1,17000
3,0,1,15,4,34,36,2,2,2,1,1,0,38000
3,0,7,10,0,47,48,3,0,3,0,1,0,59000
3,0,10,15,4,6,84,3,2,2,1,1,1,101000
3,0,9,15,4,5,18,1,1,1,1,1,1,44000
3,0,5,10,2,8,24,2,2,1,1,1,1,47000
3,0,8,20,0,30,72,3,1,1,1,1,1,110000
6,0,2,10,2,29,48,2,2,2,1,0,0,32000
2,0,3,15,4,15,30,1,1,1,1,1,1,32000
2,0,2,15,0,39,30,3,0,1,0,1,0,35000
2,0,5,15,4,41,36,3,2,1,1,0,0,47000
11,0,3,5,1,45,12,2,1,1,1,0,1,11000
4,0,23,30,3,30,18,1,0,4,0,1,0,23000
4,0,3,10,0,29,102,5,1,2,1,0,1,137000
1,0,3,10,2,12,36,2,1,1,1,1,1,38000
1,0,11,15,4,12,42,3,2,1,1,1,1,62000
11,0,7,10,2,33,12,1,1,1,1,0,1,20000
11,0,4,5,1,53,24,2,1,1,1,0,1,14000
2,0,5,10,2,33,18,4,0,1,0,0,0,23000
2,0,5,15,0,15,186,3,0,4,0,1,0,332000
2,1,2,15,0,3,60,4,0,3,0,0,0,83000
5,0,12,15,4,14,30,2,2,1,1,1,1,26000
3,0,12,15,3,43,12,1,0,3,0,1,1,14000
3,0,8,10,2,16,18,1,1,2,1,1,1,41000
3,0,13,15,4,14,30,3,1,1,1,1,1,47000
3,0,11,15,4,10,42,3,2,2,1,1,1,65000
3,0,3,15,0,37,42,1,1,1,1,1,1,35000
3,0,3,5,1,15,72,1,1,1,1,1,1,74000
5,0,2,15,0,10,132,4,0,4,0,1,0,203000
5,0,8,10,2,12,24,1,1,1,1,0,1,17000
7,0,6,15,4,11,72,3,2,2,1,1,1,71000
7,0,9,15,4,7,90,3,2,2,1,1,1,101000
7,0,7,15,4,12,66,3,2,2,1,1,1,71000
7,0,2,10,2,42,18,3,1,1,1,1,0,17000
9,0,7,15,4,39,36,4,0,1,0,1,0,44000
3,0,1,15,4,36,66,3,0,1,0,0,0,110000
3,0,7,15,0,27,48,3,1,2,1,1,1,71000
3,0,12,15,0,35,60,4,1,4,1,1,1,74000
3,0,4,15,0,34,66,1,1,2,1,1,1,122000
5,0,11,15,0,4,222,1,1,2,1,1,1,308000
5,0,7,10,2,18,18,1,2,1,1,1,1,23000
5,0,1,10,2,19,54,4,2,2,1,1,1,53000
5,0,3,5,2,15,36,3,2,2,1,0,1,41000
5,0,4,10,2,11,24,2,1,1,1,1,1,29000
3,0,4,10,2,13,66,3,2,2,1,1,1,71000
8,0,4,5,1,15,42,4,2,2,1,0,0,32000
8,0,1,10,2,41,12,4,0,1,0,0,0,29000
8,0,1,5,1,15,30,3,2,2,1,0,0,47000
9,0,8,25,4,16,78,3,2,3,1,1,1,149000
10,1,5,15,4,9,30,3,2,2,1,0,1,38000
9,0,7,15,0,10,30,1,1,2,1,1,1,53000
0,0,9,20,4,12,66,3,2,2,1,1,1,86000
7,0,4,10,3,40,12,5,0,1,0,0,1,11000
6,0,3,5,1,43,24,2,1,1,1,0,1,17000
2,0,4,15,2,37,60,3,1,1,1,1,1,65000
2,0,7,10,2,39,36,3,2,2,1,1,1,50000
2,0,1,10,2,52,60,3,0,3,0,1,0,290000
11,0,3,5,1,15,18,2,1,1,1,0,0,8000
2,0,8,15,4,39,24,2,1,1,1,0,1,44000
2,0,4,5,1,13,30,2,2,2,1,1,1,50000
2,0,6,10,2,15,48,1,1,1,1,0,0,86000
2,0,12,25,4,4,48,3,2,2,1,1,1,71000
2,0,5,10,2,15,42,3,2,2,1,1,1,41000
2,0,11,15,4,15,84,4,0,1,0,1,1,95000
2,0,5,10,2,15,42,3,2,2,1,0,1,62000
4,0,8,15,3,14,12,1,0,1,1,0,1,17000
7,0,12,15,4,14,54,2,2,2,1,1,1,41000
7,0,5,15,4,7,60,3,1,2,1,1,1,56000
0,0,3,15,4,35,60,4,2,2,1,0,1,62000
7,0,2,5,1,52,18,1,1,1,1,0,1,14000
7,0,5,10,2,49,18,2,2,1,1,0,1,17000
0,0,5,10,2,8,84,4,2,2,1,1,1,83000
0,0,2,10,2,38,36,3,2,2,1,0,1,23000
9,0,3,15,4,15,24,2,1,1,1,1,1,29000
8,0,7,20,4,11,24,2,1,1,1,0,1,41000
8,0,3,5,1,15,18,2,2,2,1,0,1,20000
9,0,16,20,4,11,48,2,2,1,1,1,1,92000
3,0,3,15,3,12,18,1,1,1,1,1,1,26000
3,0,11,15,4,40,36,3,2,2,1,1,1,20000
3,0,5,10,2,42,12,3,3,3,1,1,1,14000
5,0,11,15,4,10,66,5,2,3,1,1,0,47000
3,0,2,15,4,11,24,1,2,1,1,1,1,53000
3,0,15,20,0,6,1164,4,0,3,0,1,0,4085000
5,0,12,15,0,12,84,2,0,3,0,1,0,50000
3,0,6,20,4,4,54,4,2,2,1,1,1,65000
3,0,7,10,2,41,12,1,1,1,1,0,1,17000
5,0,6,10,2,23,18,1,1,1,1,0,1,20000
3,0,7,10,2,19,66,3,2,2,1,1,1,95000
3,0,10,15,4,20,48,3,2,2,1,0,1,47000
3,0,4,10,0,5,60,3,0,3,0,1,0,71000
3,0,12,15,4,36,66,3,2,2,1,1,1,86000
10,0,1,20,0,25,18,1,0,4,0,1,0,14000
11,0,2,5,1,15,24,3,1,1,1,0,0,17000
4,0,9,25,4,31,42,2,2,1,1,1,1,41000
1,0,11,15,3,43,12,1,1,1,1,1,1,11000
11,1,5,15,4,15,60,3,2,2,1,1,1,50000
11,0,4,10,2,38,42,4,2,2,1,0,1,41000
2,0,1,10,2,39,36,3,2,2,1,0,0,62000
2,0,10,20,4,15,36,3,2,2,1,0,1,47000
2,0,17,20,4,12,60,3,2,2,1,1,1,77000
9,0,5,10,2,12,48,1,1,1,1,1,1,50000
8,0,11,15,3,12,12,1,1,1,1,1,1,23000
9,0,5,10,2,12,48,2,1,1,1,1,1,50000
9,0,6,10,3,28,12,1,1,1,1,1,1,14000
7,0,4,5,1,7,24,1,1,1,1,0,1,17000
7,0,10,15,4,14,42,2,2,2,1,1,1,62000
7,0,12,20,4,12,66,3,2,2,1,1,1,71000
7,0,7,20,4,12,30,2,2,1,1,1,1,38000
0,0,4,15,4,31,42,3,2,2,1,1,1,62000
0,0,5,5,1,43,48,4,2,2,1,0,0,26000
0,0,14,15,4,12,24,2,1,1,1,1,1,35000
5,0,4,15,0,16,12,1,1,1,1,1,1,14000
3,0,14,15,4,12,42,2,2,2,1,1,1,62000
3,0,14,20,4,11,24,1,1,1,1,1,1,56000
3,0,6,15,4,19,30,2,1,1,1,1,1,32000
3,0,3,10,2,36,24,1,1,1,1,1,0,26000
3,0,6,10,2,41,18,3,0,4,0,0,1,38000
3,0,13,15,4,7,66,4,2,2,1,1,1,77000
3,0,13,15,4,7,60,4,1,2,1,1,1,83000
3,0,2,5,2,37,12,4,0,1,0,0,0,20000
3,0,7,15,4,15,18,2,1,1,1,1,1,26000
3,1,3,5,2,12,60,2,2,2,1,0,1,98000
5,0,9,10,2,16,54,4,2,2,1,1,1,53000
3,0,7,10,2,8,30,2,2,2,1,1,1,47000
3,0,10,15,4,15,18,1,1,1,1,1,1,44000
3,0,4,5,1,15,36,3,2,2,1,0,1,38000
5,0,3,5,1,38,12,1,1,1,1,0,1,17000
9,0,6,15,4,40,54,3,2,1,1,1,0,74000
9,0,17,20,4,11,36,2,1,1,1,1,1,62000
4,0,4,10,2,15,42,3,2,1,1,1,0,32000
6,0,5,15,4,13,54,3,2,1,1,0,1,62000
2,0,11,15,0,36,84,4,0,2,0,1,0,155000
2,0,9,20,4,35,30,2,1,1,1,0,1,29000
2,0,2,10,2,44,36,2,2,2,1,1,1,47000
1,0,4,10,2,12,30,2,2,1,1,1,1,41000
1,0,14,15,4,14,24,1,1,1,1,1,1,35000
1,0,16,20,4,11,30,2,1,1,1,1,1,50000
1,0,6,20,4,11,24,2,1,1,1,0,1,50000
1,0,4,5,1,50,18,4,2,2,1,0,0,17000
2,0,6,10,2,31,72,4,1,2,1,0,1,65000
2,0,5,15,4,11,114,4,2,3,1,1,1,110000
2,0,4,10,2,5,24,2,1,1,1,0,1,44000
2,0,4,10,2,5,54,2,2,2,1,1,1,80000
2,0,3,15,4,15,18,1,1,1,1,1,1,29000
4,0,2,15,4,8,30,3,2,1,1,0,1,47000
0,0,4,10,2,25,78,4,2,2,1,1,1,80000
8,0,12,15,4,32,30,2,1,1,1,1,1,38000
10,0,1,5,1,15,24,3,1,1,1,0,1,17000
8,0,3,5,1,15,30,3,2,1,1,0,1,29000
8,0,4,10,2,37,48,4,2,2,1,1,1,41000
8,0,3,5,1,15,30,2,1,1,1,1,0,26000
8,0,5,10,2,12,12,1,1,1,1,1,0,26000
9,0,1,10,2,20,114,4,2,2,1,1,1,152000
8,0,2,5,1,15,24,2,2,1,1,0,1,26000
9,0,1,5,1,15,36,3,2,2,1,0,0,23000
9,0,8,15,4,27,72,3,2,3,1,1,1,68000
9,0,11,15,4,13,30,2,2,2,1,1,1,35000
7,0,5,5,1,31,18,1,1,1,1,0,0,8000
0,0,2,10,2,13,60,3,2,2,1,0,1,77000
0,0,6,10,2,34,48,3,2,2,1,1,1,71000
0,0,5,10,2,25,66,5,2,3,1,1,1,56000
7,0,9,10,2,6,108,3,2,2,1,1,0,71000
7,0,3,10,2,6,96,4,2,2,1,1,0,65000
0,0,5,10,2,22,66,3,1,2,1,1,1,71000
5,0,13,20,4,6,114,4,2,3,1,1,1,86000
3,0,10,15,4,13,60,4,2,2,1,1,0,74000
3,0,10,15,4,32,42,4,2,2,1,0,1,20000
3,0,8,15,4,12,30,2,1,1,1,1,0,29000
3,0,6,15,4,12,24,2,1,1,1,1,1,47000
3,0,2,15,0,39,18,4,0,2,0,1,0,20000
5,0,16,20,4,3,60,3,2,2,1,1,1,53000
3,0,3,15,0,36,30,3,0,2,0,1,0,32000
3,0,5,5,1,35,36,3,2,2,1,0,1,26000
5,0,6,15,4,6,84,3,2,2,1,1,1,74000
3,0,2,5,2,12,60,2,2,2,1,1,1,92000
3,0,4,10,2,20,48,4,2,2,1,1,1,35000
3,0,10,15,4,20,48,4,2,2,1,1,0,38000
3,0,2,10,2,22,48,4,2,2,1,1,1,35000
3,0,3,20,4,30,30,3,2,2,1,1,0,26000
3,0,7,10,2,8,24,2,1,2,1,1,1,41000
3,0,4,10,2,6,36,2,1,2,1,1,1,59000
3,0,13,20,4,11,24,1,1,1,1,1,1,41000
3,0,8,15,4,16,42,2,1,2,1,1,1,50000
5,0,4,15,0,10,66,3,2,2,1,1,1,53000
0,0,4,10,0,30,72,1,0,3,0,1,0,47000
7,0,4,10,0,23,222,3,0,3,0,1,0,182000
8,0,3,5,1,15,30,3,2,2,1,0,0,26000
2,0,6,10,2,48,54,3,2,3,1,1,0,47000
2,0,6,15,4,7,24,1,1,1,1,1,1,41000
2,0,12,15,4,14,24,1,1,1,1,1,1,35000
1,0,10,15,3,37,12,1,1,1,1,1,1,14000
1,0,6,15,4,9,18,1,0,1,1,1,1,32000
4,0,9,15,4,15,36,4,0,4,0,0,1,41000
1,0,7,15,3,12,12,1,1,1,1,1,1,17000
1,0,13,15,4,11,24,1,2,1,1,1,1,32000
4,0,3,5,1,51,42,5,2,2,1,0,1,47000
1,0,5,15,4,5,30,1,2,1,1,1,1,50000
1,0,8,20,4,11,30,2,1,1,1,1,1,50000
1,0,11,20,4,11,30,2,2,1,1,1,1,47000
2,0,3,15,4,37,24,1,1,1,1,0,0,26000
2,0,10,15,4,14,12,1,1,1,1,1,1,29000
2,0,5,15,4,39,54,4,2,2,1,1,1,50000
7,0,2,15,4,9,60,3,2,2,1,1,1,77000
4,0,5,15,4,11,30,2,1,2,1,1,1,56000
6,0,4,5,1,15,24,3,2,1,1,0,1,20000
6,0,5,15,4,16,54,4,2,2,1,0,1,47000
6,0,23,35,4,5,60,3,2,2,1,1,1,50000
9,0,8,30,0,23,96,2,0,1,0,1,0,221000
9,0,4,15,4,20,18,1,1,1,1,1,1,20000
8,0,7,15,3,14,12,1,1,1,1,1,1,32000
8,0,2,10,0,27,120,7,0,2,1,1,0,116000
9,0,17,30,4,13,90,4,2,3,1,1,0,161000
0,0,13,15,4,12,36,3,2,2,1,1,1,74000
0,0,3,15,4,11,60,3,2,2,1,1,1,71000
0,0,6,10,2,22,42,3,2,2,1,1,1,62000
3,0,13,15,3,10,18,1,1,1,1,1,0,23000
5,0,6,10,2,25,42,3,2,2,1,1,0,32000
3,0,2,10,2,3,36,2,2,2,1,1,1,74000
3,0,2,10,2,3,30,1,2,1,1,1,1,50000
3,0,9,15,4,9,30,2,2,1,1,1,1,50000
3,0,10,20,3,11,24,1,1,1,1,1,1,50000
3,0,5,15,4,12,60,4,2,2,1,1,1,71000
3,0,13,15,4,14,30,2,1,2,1,1,1,50000
3,0,8,15,0,15,132,3,0,2,0,0,0,179000
3,0,5,10,2,23,60,2,2,2,1,1,1,65000
3,0,1,15,0,35,24,3,1,1,1,0,0,53000
3,0,10,15,4,11,18,1,1,1,1,1,1,35000
3,0,6,15,4,8,42,3,2,2,1,0,1,65000
3,0,3,15,4,9,24,1,1,1,1,1,1,38000
3,0,3,15,4,9,36,2,2,1,1,1,1,59000
5,0,6,10,2,7,18,1,1,1,1,1,1,32000
9,0,1,5,1,15,42,3,0,1,0,0,1,50000
9,0,11,25,4,16,60,1,1,2,1,1,1,140000
8,0,3,5,1,45,30,3,2,1,1,0,1,26000
9,0,7,20,4,14,30,1,1,1,1,1,1,38000
10,0,1,15,4,15,66,5,0,4,0,1,0,95000
10,1,5,15,0,33,90,3,0,1,0,1,0,89000
9,0,2,5,1,15,30,3,2,1,1,0,1,26000
9,0,9,15,4,8,24,2,1,1,1,1,1,35000
8,0,2,15,4,15,48,3,0,1,0,0,1,53000
0,0,16,20,4,28,96,5,2,3,1,1,0,212000
0,0,6,15,4,6,120,4,2,2,1,1,0,2e+05
5,0,7,10,2,36,36,3,2,2,1,1,0,29000
3,0,9,15,2,24,42,2,0,3,0,0,1,41000
3,0,6,15,4,9,30,2,1,1,1,1,1,56000
3,0,7,15,4,9,30,2,1,1,1,1,1,56000
3,0,15,15,4,10,36,1,1,1,1,1,1,44000
5,0,10,10,0,19,162,4,0,3,0,1,0,194000
2,0,3,5,1,15,30,3,2,2,1,1,0,38000
1,0,8,15,4,6,60,3,2,2,1,1,1,65000
4,0,5,10,2,36,24,3,1,1,1,0,1,32000
2,0,10,15,4,19,54,3,2,2,1,1,1,62000
2,0,12,15,4,12,30,2,1,1,1,1,1,50000
6,0,3,5,1,39,36,3,2,2,1,0,1,20000
6,0,1,5,1,15,30,2,0,3,0,0,1,29000
3,0,5,10,2,5,24,2,2,1,1,0,1,38000
5,0,3,15,4,25,30,2,2,1,1,1,1,17000
5,0,2,5,1,36,36,3,2,2,1,0,0,29000
3,0,13,15,4,10,30,3,2,2,1,1,0,38000
3,0,12,15,3,10,18,1,1,1,1,1,0,23000
3,0,4,5,1,15,30,2,2,1,1,0,1,20000
0,0,3,10,2,36,48,3,2,2,1,1,1,71000
0,0,-1,10,2,35,60,3,2,2,1,0,1,80000
0,0,5,20,4,12,48,2,2,1,1,0,1,50000
8,0,6,15,4,19,48,3,2,2,1,1,1,62000
9,0,3,5,1,15,30,3,2,1,1,0,1,23000
8,0,3,15,4,43,48,2,2,2,1,0,1,47000
8,0,4,15,0,34,48,2,0,4,0,1,1,92000
9,0,3,5,1,15,36,3,2,1,1,0,1,29000
8,0,1,10,2,15,30,3,0,4,0,1,0,44000
8,0,1,15,4,32,24,3,0,2,0,1,0,71000
10,0,1,5,1,45,30,2,2,1,1,0,0,32000
8,0,6,15,4,42,24,2,1,1,1,1,1,23000
9,0,9,20,0,24,54,3,0,2,1,1,1,65000
0,0,8,15,4,16,42,3,1,2,1,1,1,62000
0,0,3,15,4,23,30,3,2,1,1,1,1,47000
0,0,5,10,2,40,60,3,2,3,1,0,1,50000
3,0,3,5,2,28,12,1,1,1,1,0,1,14000
3,0,12,15,4,10,30,2,1,1,1,1,1,47000
3,0,6,15,4,13,60,3,1,2,1,1,1,62000
3,0,11,20,4,30,24,1,1,1,1,0,0,23000
5,0,4,10,2,36,48,2,2,3,1,0,1,56000
3,0,5,15,0,35,36,1,1,2,1,1,0,44000
5,0,9,10,2,5,54,2,2,1,1,1,1,44000
6,0,7,10,3,23,12,1,1,1,1,1,0,17000
2,0,1,10,2,15,24,3,0,4,0,0,1,26000
2,0,1,10,2,15,54,4,0,2,0,1,0,221000
2,0,1,10,2,51,42,3,0,3,0,0,0,110000
4,0,3,15,4,10,60,3,2,2,1,1,1,89000
4,0,11,15,0,18,18,3,1,1,1,1,1,20000
4,0,8,15,4,22,72,4,2,2,1,1,1,47000
1,0,3,5,1,50,18,2,1,1,1,0,0,14000
11,0,11,15,3,4,24,1,1,1,1,0,1,32000
4,0,3,10,3,15,12,1,1,1,1,0,1,17000
1,0,2,5,1,39,30,3,1,1,1,0,0,20000
1,1,12,15,0,26,42,1,2,2,1,1,0,44000
11,0,8,15,4,41,12,1,1,1,1,1,1,14000
2,0,3,10,2,15,18,2,1,1,1,1,1,29000
2,0,2,5,1,15,36,3,2,2,1,0,0,29000
6,0,3,5,1,15,12,4,4,4,1,0,1,14000
4,0,6,15,4,12,72,3,2,2,1,1,1,92000
6,0,4,5,1,51,24,2,1,1,1,0,1,17000
6,0,2,5,1,15,18,2,1,1,1,0,1,17000
4,0,1,10,2,15,60,3,0,1,0,1,0,68000
7,0,13,15,0,27,138,4,0,2,0,1,0,176000
2,0,6,10,2,37,18,2,1,1,1,0,1,29000
3,0,6,15,4,14,18,2,1,2,1,1,1,32000
5,0,1,5,1,32,36,2,0,1,0,0,1,29000
3,0,6,15,4,41,12,1,1,1,1,0,1,14000
3,0,1,10,2,6,96,4,2,3,1,1,1,80000
7,0,3,5,1,22,42,4,2,2,1,1,1,32000
0,0,2,5,1,51,18,2,1,1,1,0,1,17000
9,0,13,35,0,8,126,3,1,2,1,1,1,434000
9,0,10,50,0,5,90,4,0,3,0,1,0,290000
8,0,6,10,2,28,42,3,2,2,1,0,0,35000
9,0,3,30,4,23,42,2,2,2,1,1,1,56000
0,0,7,10,2,40,36,3,2,2,1,1,1,80000
3,0,1,20,0,6,132,1,0,2,0,1,0,1346000
3,0,16,20,0,6,588,2,0,1,0,1,0,2054000
3,0,10,15,3,39,12,1,1,1,1,1,1,17000
3,0,14,15,4,14,24,1,2,1,1,1,1,65000
5,0,8,15,0,14,132,7,0,1,1,1,0,158000
3,0,5,15,0,43,78,4,0,1,1,1,0,131000
4,0,4,10,2,31,54,4,2,2,1,0,1,47000
6,0,5,5,1,15,24,3,1,1,1,0,1,14000
6,0,9,20,4,24,12,1,1,1,1,1,1,11000
2,0,4,10,2,15,42,2,1,1,1,1,1,26000
1,0,10,15,4,42,12,1,1,1,1,1,1,14000
1,0,3,15,4,12,36,3,2,2,1,1,1,56000
4,0,3,15,0,17,66,1,1,1,1,1,1,104000
1,0,4,5,1,50,18,2,1,1,1,0,1,20000
2,0,12,15,4,36,42,3,2,2,1,0,1,41000
2,1,1,15,4,4,60,3,0,2,0,1,0,119000
3,0,12,15,4,10,24,1,1,1,1,1,1,50000
0,0,10,15,4,12,36,1,1,1,1,1,1,56000
8,0,11,15,4,31,42,3,2,2,1,1,1,56000
10,0,5,10,2,13,48,3,2,2,1,1,1,29000
8,0,4,5,1,50,6,1,0,3,1,0,1,8000
8,0,13,15,0,36,36,2,1,4,1,1,0,50000
8,0,3,15,4,43,24,2,2,1,1,1,0,26000
0,0,3,15,4,35,36,3,2,2,1,1,1,62000
7,0,7,10,2,23,108,4,2,3,1,1,0,107000
0,0,6,15,4,6,132,4,2,2,1,1,0,2e+05
0,0,1,15,4,22,138,5,2,4,1,1,1,185000
3,0,1,5,1,47,42,3,2,2,1,0,0,65000
5,0,3,10,2,26,54,2,2,2,1,1,1,29000
5,0,5,10,2,26,48,3,2,2,1,0,1,29000
3,0,5,15,4,35,36,4,0,4,0,1,0,44000
3,0,12,15,0,39,120,6,2,1,1,1,1,161000
3,0,1,5,1,51,24,3,2,1,1,0,0,32000
3,0,1,15,4,35,24,2,0,1,0,1,0,50000
3,0,8,10,0,13,30,3,0,3,0,1,0,35000
3,0,9,15,4,9,30,2,2,1,1,1,1,50000
3,0,5,10,2,5,24,2,1,1,1,0,1,44000
3,0,1,10,2,41,24,3,0,3,0,1,0,38000
3,0,1,5,1,15,6,1,0,1,1,0,1,8000
2,0,6,10,2,5,24,2,1,1,1,1,1,44000
2,0,5,10,2,15,42,4,2,2,1,1,1,50000
2,0,-4,10,4,24,138,4,0,3,0,0,1,62000
2,0,6,15,3,3,12,1,1,1,1,0,1,29000
1,0,9,15,3,12,18,1,1,1,1,1,1,26000
0,0,1,5,1,48,18,3,0,3,0,0,0,23000
9,0,1,5,1,46,30,5,0,4,0,0,0,44000
4,0,10,15,4,38,48,3,0,2,0,0,1,56000
6,0,1,5,1,36,72,4,0,1,0,0,0,44000
4,0,22,30,0,30,78,1,0,2,0,1,0,143000
1,0,7,15,4,3,60,4,2,2,1,0,0,62000
11,0,7,15,4,7,48,3,2,2,1,1,1,77000
11,0,13,30,4,8,48,3,2,2,1,1,1,56000
